dataset_id,description,licensed
212,Monthly EA forecast for gasoline refinery yield in North America as a %,yes
213,Monthly EA forecast for gasoline refinery yield in Latin America as a %,yes
214,Monthly EA forecast for gasoline refinery yield in Europe as a %,yes
215,Monthly EA forecast for gasoline refinery yield in Former Soviet Union as a %,yes
216,Monthly EA forecast for gasoline refinery yield in Middle East as a %,yes
217,Monthly EA forecast for gasoline refinery yield in Africa as a %,yes
218,Monthly EA forecast for gasoline refinery yield in Asia Pacific as a %,yes
219,Monthly EA forecast for diesel refinery yield in North America as a %,yes
220,Monthly EA forecast for diesel refinery yield in Latin America as a %,yes
221,Monthly EA forecast for diesel refinery yield in Europe as a %,yes
222,Monthly EA forecast for diesel refinery yield in Former Soviet Union as a %,yes
223,Monthly EA forecast for diesel refinery yield in Middle East as a %,yes
224,Monthly EA forecast for diesel refinery yield in Africa as a %,yes
225,Monthly EA forecast for diesel refinery yield in Asia Pacific as a %,yes
226,Monthly EA forecast for jet/kero refinery yield in North America as a %,yes
227,Monthly EA forecast for jet/kero refinery yield in Latin America as a %,yes
228,Monthly EA forecast for jet/kero refinery yield in Europe as a %,yes
229,Monthly EA forecast for jet/kero refinery yield in Former Soviet Union as a %,yes
230,Monthly EA forecast for jet/kero refinery yield in Middle East as a %,yes
231,Monthly EA forecast for jet/kero refinery yield in Africa as a %,yes
232,Monthly EA forecast for jet/kero refinery yield in Asia Pacific as a %,yes
233,Monthly EA forecast for fuel oil refinery yield in North America as a %,yes
234,Monthly EA forecast for fuel oil refinery yield in Latin America as a %,yes
235,Monthly EA forecast for fuel oil refinery yield in Europe as a %,yes
236,Monthly EA forecast for fuel oil refinery yield in Former Soviet Union as a %,yes
237,Monthly EA forecast for fuel oil refinery yield in Middle East as a %,yes
238,Monthly EA forecast for fuel oil refinery yield in Africa as a %,yes
239,Monthly EA forecast for fuel oil refinery yield in Asia Pacific as a %,yes
1562,Monthly EA forecast for refinery runs in Argentina in kb/d,yes
1563,Monthly EA forecast for refinery runs in Bolivia in kb/d,yes
1564,Monthly EA forecast for refinery runs in Brazil in kb/d,yes
1565,Monthly EA forecast for refinery runs in Chile in kb/d,yes
1566,Monthly EA forecast for refinery runs in Colombia in kb/d,yes
1567,Monthly EA forecast for refinery runs in Chad in kb/d,yes
1568,Monthly EA forecast for refinery runs in Cuba in kb/d,yes
1569,Monthly EA forecast for refinery runs in Curacao in kb/d,yes
1570,Monthly EA forecast for refinery runs in Dominican Republic in kb/d,yes
1571,Monthly EA forecast for refinery runs in Ecuador in kb/d,yes
1572,Monthly EA forecast for refinery runs in Jamaica in kb/d,yes
1573,Monthly EA forecast for refinery runs in Mexico in kb/d,yes
1574,Monthly EA forecast for refinery runs in Nicaragua in kb/d,yes
1575,Monthly EA forecast for refinery runs in Peru in kb/d,yes
1576,Monthly EA forecast for refinery runs in Trinidad and Tobago in kb/d,yes
1577,Monthly EA forecast for refinery runs in Uruguay in kb/d,yes
1578,Monthly EA forecast for refinery runs in Venezuela in kb/d,yes
1579,Monthly EA forecast for refinery runs in Minor Latin America in kb/d,yes
1580,Monthly EA forecast for refinery runs in Latin America in kb/d,yes
1581,Monthly EA forecast for refinery runs in Austria in kb/d,yes
1582,Monthly EA forecast for refinery runs in Belgium in kb/d,yes
1583,Monthly EA forecast for refinery runs in Bosnia in kb/d,yes
1584,Monthly EA forecast for refinery runs in Bulgaria in kb/d,yes
1585,Monthly EA forecast for refinery runs in Croatia in kb/d,yes
1586,Monthly EA forecast for refinery runs in Czechia in kb/d,yes
1587,Monthly EA forecast for refinery runs in Denmark in kb/d,yes
1588,Monthly EA forecast for refinery runs in Finland in kb/d,yes
1589,Monthly EA forecast for refinery runs in France in kb/d,yes
1590,Monthly EA forecast for refinery runs in Germany in kb/d,yes
1591,Monthly EA forecast for refinery runs in Greece in kb/d,yes
1592,Monthly EA forecast for refinery runs in Hungary in kb/d,yes
1593,Monthly EA forecast for refinery runs in Ireland in kb/d,yes
1594,Monthly EA forecast for refinery runs in Italy in kb/d,yes
1595,Monthly EA forecast for refinery runs in Lithuania in kb/d,yes
1596,Monthly EA forecast for refinery runs in Netherlands in kb/d,yes
1597,Monthly EA forecast for refinery runs in Norway in kb/d,yes
1598,Monthly EA forecast for refinery runs in Poland in kb/d,yes
1599,Monthly EA forecast for refinery runs in Portugal in kb/d,yes
1600,Monthly EA forecast for refinery runs in Romania in kb/d,yes
1601,Monthly EA forecast for refinery runs in Serbia in kb/d,yes
1602,Monthly EA forecast for refinery runs in Slovakia in kb/d,yes
1603,Monthly EA forecast for refinery runs in Spain in kb/d,yes
1604,Monthly EA forecast for refinery runs in Sweden in kb/d,yes
1605,Monthly EA forecast for refinery runs in Switzerland in kb/d,yes
1606,Monthly EA forecast for refinery runs in Turkey in kb/d,yes
1607,Monthly EA forecast for refinery runs in United Kingdom in kb/d,yes
1608,Monthly EA forecast for refinery runs in Minor Europe in kb/d,yes
1609,Monthly EA forecast for refinery runs in Europe in kb/d,yes
1610,Monthly EA forecast for refinery runs in EU-5 in kb/d,yes
1611,Monthly EA forecast for refinery runs in Azerbaijan in kb/d,yes
1612,Monthly EA forecast for refinery runs in Belarus in kb/d,yes
1613,Monthly EA forecast for refinery runs in Kazakhstan in kb/d,yes
1614,Monthly EA forecast for refinery runs in Russia in kb/d,yes
1615,Monthly EA forecast for refinery runs in Turkmenistan in kb/d,yes
1616,Monthly EA forecast for refinery runs in Ukraine in kb/d,yes
1617,Monthly EA forecast for refinery runs in Uzbekistan in kb/d,yes
1618,Monthly EA forecast for refinery runs in Minor Former Soviet Union in kb/d,yes
1619,Monthly EA forecast for refinery runs in Former Soviet Union in kb/d,yes
1620,Monthly EA forecast for refinery runs in Bahrain in kb/d,yes
1621,Monthly EA forecast for refinery runs in Iran in kb/d,yes
1622,Monthly EA forecast for refinery runs in Iraq in kb/d,yes
1623,Monthly EA forecast for refinery runs in Israel in kb/d,yes
1624,Monthly EA forecast for refinery runs in Jordan in kb/d,yes
1625,Monthly EA forecast for refinery runs in Kuwait in kb/d,yes
1626,Monthly EA forecast for refinery runs in Oman in kb/d,yes
1627,Monthly EA forecast for refinery runs in Qatar in kb/d,yes
1628,Monthly EA forecast for refinery runs in Saudi Arabia in kb/d,yes
1629,Monthly EA forecast for refinery runs in Syria in kb/d,yes
1630,Monthly EA forecast for refinery runs in United Arab Emirates in kb/d,yes
1631,Monthly EA forecast for refinery runs in Yemen in kb/d,yes
1632,Monthly EA forecast for refinery runs in Middle East in kb/d,yes
1633,Monthly EA forecast for refinery runs in Algeria in kb/d,yes
1634,Monthly EA forecast for refinery runs in Angola in kb/d,yes
1635,Monthly EA forecast for refinery runs in Cameroon in kb/d,yes
1636,Monthly EA forecast for refinery runs in Congo in kb/d,yes
1637,Monthly EA forecast for refinery runs in Ivory Coast in kb/d,yes
1638,Monthly EA forecast for refinery runs in Egypt in kb/d,yes
1639,Monthly EA forecast for refinery runs in Gabon in kb/d,yes
1640,Monthly EA forecast for refinery runs in Ghana in kb/d,yes
1641,Monthly EA forecast for refinery runs in Kenya in kb/d,yes
1642,Monthly EA forecast for refinery runs in Libya in kb/d,yes
1643,Monthly EA forecast for refinery runs in Morocco in kb/d,yes
1644,Monthly EA forecast for refinery runs in Nigeria in kb/d,yes
1645,Monthly EA forecast for refinery runs in Senegal in kb/d,yes
1646,Monthly EA forecast for refinery runs in South Africa in kb/d,yes
1647,Monthly EA forecast for refinery runs in Sudan in kb/d,yes
1648,Monthly EA forecast for refinery runs in Tunisia in kb/d,yes
1649,Monthly EA forecast for refinery runs in Zambia in kb/d,yes
1650,Monthly EA forecast for refinery runs in Minor Africa in kb/d,yes
1651,Monthly EA forecast for refinery runs in Africa in kb/d,yes
1652,Monthly EA forecast for refinery runs in Australia in kb/d,yes
1653,Monthly EA forecast for refinery runs in Bangladesh in kb/d,yes
1654,Monthly EA forecast for refinery runs in Brunei in kb/d,yes
1655,Monthly EA forecast for refinery runs in China in kb/d,yes
1656,Monthly EA forecast for refinery runs in Taiwan in kb/d,yes
1657,Monthly EA forecast for refinery runs in India in kb/d,yes
1658,Monthly EA forecast for refinery runs in Indonesia in kb/d,yes
1659,Monthly EA forecast for refinery runs in Japan in kb/d,yes
1660,Monthly EA forecast for refinery runs in Korea in kb/d,yes
1661,Monthly EA forecast for refinery runs in Malaysia in kb/d,yes
1662,Monthly EA forecast for refinery runs in Myanmar in kb/d,yes
1663,Monthly EA forecast for refinery runs in New Zealand in kb/d,yes
1664,Monthly EA forecast for refinery runs in Pakistan in kb/d,yes
1665,Monthly EA forecast for refinery runs in Papua New Guinea in kb/d,yes
1666,Monthly EA forecast for refinery runs in Philippines in kb/d,yes
1667,Monthly EA forecast for refinery runs in Singapore in kb/d,yes
1668,Monthly EA forecast for refinery runs in Thailand in kb/d,yes
1669,Monthly EA forecast for refinery runs in Vietnam in kb/d,yes
1670,Monthly EA forecast for refinery runs in Minor Asia Pacific in kb/d,yes
1671,Monthly EA forecast for refinery runs in Asia Pacific in kb/d,yes
1672,Monthly EA forecast for refinery runs in PADD 1 in kb/d,yes
1673,Monthly EA forecast for refinery runs in PADD 2 in kb/d,yes
1674,Monthly EA forecast for refinery runs in PADD 3 in kb/d,yes
1675,Monthly EA forecast for refinery runs in PADD 4 in kb/d,yes
1676,Monthly EA forecast for refinery runs in PADD 5 in kb/d,yes
1677,Monthly EA forecast for refinery runs in Canada in kb/d,yes
1678,Monthly EA forecast for refinery runs in North America in kb/d,yes
1679,Monthly EA forecast for refinery runs in United States in kb/d,yes
3309,Monthly EA forecast for crude oil price for Brent in $/bbl,yes
3310,Monthly EA forecast for crude oil price for Dated Brent in $/bbl,yes
3311,Monthly EA forecast for crude oil price for WTI in $/bbl,yes
3312,Monthly EA forecast for crude oil price for Dubai in $/bbl,yes
3313,Monthly EA forecast for crude oil price for WTI Midland in $/bbl,yes
3314,Monthly EA forecast for crude oil price for MEH in $/bbl,yes
3315,Monthly EA forecast for crude oil price for LLS in $/bbl,yes
3316,Monthly EA forecast for crude oil price for Mars in $/bbl,yes
3317,Monthly EA forecast for crude oil price for Maya in $/bbl,yes
3318,Monthly EA forecast for crude oil price for Bakken Clearbrook in $/bbl,yes
3319,Monthly EA forecast for crude oil price for Syncrude in $/bbl,yes
3320,Monthly EA forecast for crude oil price for WCS in $/bbl,yes
3321,Monthly EA forecast for crude oil price for Urals CIF Mediterranean in $/bbl,yes
3322,Monthly EA forecast for crude oil price for Urals CIF Rotterdam in $/bbl,yes
3323,Monthly EA forecast for crude oil price for Oman in $/bbl,yes
3908,Monthly EA forecast for ULSD price in US Gulf Coast in $/gal,yes
3909,Monthly EA forecast for ULSD price in North West Europe in $/t,yes
3910,Monthly EA forecast for ULSD price in North West Europe in $/bbl,yes
3911,Monthly EA forecast for gasoil price in Singapore in $/bbl,yes
3912,Monthly EA forecast for HSFO oil price in US Gulf Coast in $/t,yes
3913,Monthly EA forecast for HSFO price in US Gulf Coast in $/bbl,yes
3914,Monthly EA forecast for HSFO barges price in North West Europe in $/t,yes
3915,Monthly EA forecast for HSFO barges price in North West Europe in $/bbl,yes
3916,Monthly EA forecast for fuel oil 180 cst price in Singapore in $/t,yes
3917,Monthly EA forecast for fuel oil 180 cst price in Singapore in $/bbl,yes
3918,Monthly EA forecast for RBOB price in $/gal,yes
3919,Monthly EA forecast for gasoline price in Northwest Europe in $/t,yes
3920,Monthly EA forecast for gasoline price in Northwest Europe in $/bbl,yes
3921,Monthly EA forecast for 95 RON price in Singapore in $/bbl,yes
5239,Monthly EA forecast for refinery runs in World in kb/d,yes
5240,Monthly EA forecast for refinery runs in East of Suez in kb/d,yes
5241,Monthly EA forecast for refinery runs in Americas in kb/d,yes
5269,Monthly EA forecast for refinery runs in West of Suez in kb/d,yes
6490,Monthly EA forecast for refinery runs in US Virgin Islands in kb/d,yes
6770,Monthly refinery unplanned outage for HT units in Asia Pacific in kb/d,yes
6771,Monthly refinery planned outage for HT units in Latin America in kb/d,yes
6772,Monthly refinery total outages for CDU units in Belarus in kb/d,yes
6773,Monthly refinery total outages for RFMR units in Europe in kb/d,yes
6774,Monthly refinery planned outage for HCU units in Middle East in kb/d,yes
6775,Monthly refinery unplanned outage for ALK units in Africa in kb/d,yes
6776,Monthly refinery total outages for FCC units in PADD 3 in kb/d,yes
6777,Monthly refinery planned outage for CDU units in Chad in kb/d,yes
6778,Monthly refinery total outages for CDU units in Brunei in kb/d,yes
6779,Monthly refinery unplanned outage for all units in Latin America in kb/d,yes
6780,Monthly refinery total outages for OTHER in Middle East in kb/d,yes
6781,Monthly refinery planned outage for HT units in Former Soviet Union in kb/d,yes
6782,Monthly refinery total outages for OTHER in North America in kb/d,yes
6783,Monthly refinery planned outage for CDU units in United States in kb/d,yes
6784,Monthly refinery total outages for CDU units in PADD 4 in kb/d,yes
6785,Monthly refinery total outages for HT units in Middle East in kb/d,yes
6786,Monthly refinery unplanned outage for FCC units in Asia Pacific in kb/d,yes
6787,Monthly refinery total outages for CDU units in Russia in kb/d,yes
6788,Monthly refinery unplanned outage for CDU units in Middle East in kb/d,yes
6789,Monthly refinery planned outage for HT units in Middle East in kb/d,yes
6790,Monthly refinery planned outage for RFMR units in Former Soviet Union in kb/d,yes
6791,Monthly refinery total outages for CDU units in Nigeria in kb/d,yes
6792,Monthly refinery unplanned outage for HT units in Former Soviet Union in kb/d,yes
6793,Monthly refinery planned outage for CDU units in Senegal in kb/d,yes
6794,Monthly refinery unplanned outage for CDU units in Former Soviet Union in kb/d,yes
6795,Monthly refinery planned outages for CDU units in China in kb/d,yes
6796,Monthly refinery total outages for CDU units in Jordan in kb/d,yes
6797,Monthly refinery total outages for CDU units in Congo in kb/d,yes
6798,Monthly refinery unplanned outage for ALK units in Europe in kb/d,yes
6799,Monthly refinery total outages for CDU units in PADD 3 in kb/d,yes
6800,Monthly refinery planned outage for CDU units in Netherlands in kb/d,yes
6801,Monthly refinery planned outage for CDU units in Pakistan in kb/d,yes
6802,Monthly refinery total outages for CDU units in Papua New Guinea in kb/d,yes
6803,Monthly refinery unplanned outage for RFMR units in Latin America in kb/d,yes
6804,Monthly refinery total outages for FCC units in PADD 2 in kb/d,yes
6805,Monthly refinery total outages for CDU units in United Kingdom in kb/d,yes
6806,Monthly refinery total outages for CDU units in North America in kb/d,yes
6807,Monthly refinery total outages in FCC units in Africa in kb/d,yes
6808,Monthly refinery total outages for CDU units in Thailand in kb/d,yes
6809,Monthly refinery total outages for CDU units in Denmark in kb/d,yes
6810,Monthly refinery total estimated impact in Former Soviet Union in kb/d,yes
6811,Monthly refinery total outages for OTHER in Africa in kb/d,yes
6812,Monthly refinery total outages for CDU units in PADD 5 in kb/d,yes
6813,Monthly refinery total outages for CDU units in Syria in kb/d,yes
6814,Monthly refinery total outages for CDU units in Uruguay in kb/d,yes
6815,Monthly refinery total outages for CDU units in Brazil in kb/d,yes
6816,Monthly refinery total outages for CDU units in Israel in kb/d,yes
6817,Monthly refinery planned outage for CDU units in Zambia in kb/d,yes
6818,Monthly refinery unplanned outage for HCU units in Middle East in kb/d,yes
6819,Monthly refinery planned outage for CDU units in Sri Lanka in kb/d,yes
6820,Monthly refinery unplanned outage for all units in Former Soviet Union in kb/d,yes
6821,Monthly refinery planned outage for CDU units in Malaysia in kb/d,yes
6822,Monthly refinery total outages for CDU units in Jamaica in kb/d,yes
6823,Monthly refinery planned outage for CDU units in Italy in kb/d,yes
6824,Monthly refinery planned outage for CDU units in Croatia in kb/d,yes
6825,Monthly refinery planned outage for RFMR units in Middle East in kb/d,yes
6826,Monthly refinery total outages for CDU units in Japan in kb/d,yes
6827,Monthly refinery planned outage for ALK units in North America in kb/d,yes
6828,Monthly refinery total outages for CDU units in Bosnia and Herzegovina in kb/d,yes
6829,Monthly refinery total outages for CDU units in Portugal in kb/d,yes
6830,Monthly refinery planned outage for CDU units in Chile in kb/d,yes
6831,Monthly refinery planned outage for ALK units in Latin America in kb/d,yes
6832,Monthly refinery total outages for CDU units in Turkey in kb/d,yes
6833,Monthly refinery planned outage for CDU units in Belgium in kb/d,yes
6834,Monthly refinery total outages for HCU units in Asia Pacific in kb/d,yes
6835,Monthly refinery planned outage for CDU units in Norway in kb/d,yes
6836,Monthly refinery planned outage for CDU units in Middle East in kb/d,yes
